OBJECTID;USE;HBLOCK;LENGTH;LOWADDR;HIGHADDR;comments;POINT_X;POINT_Y
1005.0;Residential;4600 SIMPSON AV;223.278985;4600.0;4600.0;No sidewalks both sides;484531.47435;5457976.30675
1013.0;Residential;1600-1700 DRUMMOND DRIVE;313.106697;1600.0;1700.0;No sidewalk both sides;483898.990208;5457667.99915
1018.0;Residential;6300 FREMLIN ST;100.911647;6300.0;6300.0;No sidewalk both sides;490765.804519;5452848.07787
1019.0;Residential;6300 FREMLIN ST;100.911647;6300.0;6300.0;No sidewalk both sides;490764.300345;5452783.09562
1026.0;Residential;6900-7000 CARNARVON ST;221.292895;6900.0;7000.0;No sidewalk both sides;487401.512941;5452239.09774
1029.0;Residential;6900-7000 CARNARVON ST;221.292895;6900.0;7000.0;No sidewalk both sides;487397.843018;5452082.84794
1036.0;Residential;2600-2700 W 50TH AV;330.089937;2600.0;2700.0;No sidewalk both sides;487778.176935;5452662.63274
1037.0;Residential;600 W 54TH AV;3.476246;600.0;600.0;No sidewalks both sides;491343.579285;5452118.08679
1039.0;Residential;2100 W 54TH AV;62.914409;2100.0;2100.0;No sidewalks both sides;488495.370117;5452143.32944
1040.0;Residential;2100 W 54TH AV;62.914409;2100.0;2100.0;No sidewalks both sides;488432.470331;5452144.68581
1044.0;Residential;3200 LILLOOET ST;44.991315;3200.0;3200.0;No sidewalks both sides;497158.35505;5455779.34835
1047.0;Residential;1500 E 39TH AV;50.219417;1500.0;1500.0;No sidewalk both sides;494598.223774;5453556.58221
1051.0;Residential;8400-8500 FRASER ST;236.437146;8400.0;8500.0;No sidewalk both sides;493357.640221;5450572.5279
1055.0;Residential;8400-8500 FRASER ST;236.437146;8400.0;8500.0;No sidewalk both sides;493352.695068;5450336.14247
1059.0;Secondary Arterial;500-600 E KENT AV NORTH;152.134672;500.0;600.0;No sidewalk both sides;493358.279377;5450603.15007
1060.0;Secondary Arterial;700 E KENT AV SOUTH;141.374994;700.0;700.0;No sidewalk both sides;493357.640221;5450572.5279
1061.0;Secondary Arterial;700 E KENT AV SOUTH;141.374994;700.0;700.0;No sidewalk both sides;493422.107529;5450580.83248
1064.0;Residential;7900 SOPHIA ST;54.495576;7900.0;7900.0;No sidewalks both sides;492703.323957;5451147.63071
1065.0;Residential;7900 SOPHIA ST;54.495576;7900.0;7900.0;No sidewalks both sides;492705.262394;5451202.0918
1066.0;Residential;8000 POPLAR ST;44.350389;8000.0;8000.0;No sidewalks both sides;493204.778758;5451096.06513
