Date;Time;Location;Location Type;Pedestrian;Bike;Motorcycle;Veh;Age;Gender ;Lat;Long;geopoint
2010-01-19 00:00:00;;500 Blk E King Edward Ave;;1;;;0;20-29;M;49.2486744125;-123.093092206;49.2486744125,-123.093092206
2010-06-12 00:00:00;;4900 Blk Oak St;;;;;1;50-59;M;49.2395457619;-123.127883105;49.2395457619,-123.127883105
2010-10-21 00:00:00;;Eton St/N Renfrew St;;1;;;0;70-79;M;49.2877054814;-123.044067079;49.2877054814,-123.044067079
2011-06-20 00:00:00;17:52:00;Granville St/Nanton Ave;Close to intersection;;;;1;30-39;M;49.247413483;-123.139150237;49.247413483,-123.139150237
2011-06-20 00:00:00;17:52:00;Granville St/Nanton Ave;Close to intersection;;;;1;60-69;F;49.247413483;-123.139150237;49.247413483,-123.139150237
2012-03-27 00:00:00;07:27:00;E 12th Ave / Windsor St;Intersection;;1;;0;30-39;F;49.2596690818;-123.083360181;49.2596690818,-123.083360181
2012-06-11 00:00:00;12:27:00;2800 Block West Broadway;Mid-Block;1;;;0;50-59;F;49.2640872368;-123.16914206;49.2640872368,-123.16914206
2012-06-26 00:00:00;12:21:00;00 block of East Hastings;Mid-Block;1;;;0;80-89;F;49.2814038872;-123.103311316;49.2814038872,-123.103311316
2012-11-09 00:00:00;08:00:00;W 2nd Ave / Burrard St;Intersection;;;1;0;20-29;F;49.2697795817;-123.145546825;49.2697795817,-123.145546825
2012-11-10 00:00:00;15:00:00;East Georgia and Renfrew;Intersection;1;;;0;80-89;M;49.2782678743;-123.044082015;49.2782678743,-123.044082015
2013-05-06 00:00:00;14:25:00;E 1st Ave / Renfrew St;Intersection;;;;1;80-89;F;49.2694900579;-123.044215546;49.2694900579,-123.044215546
2013-06-04 00:00:00;16:30:00;E Hastings and Carrall;Intersection;1;;;0;60-69;M;;;
2013-06-28 00:00:00;13:30:00;1618 E 13th Ave;Mid-Block;1;;;0;50-59;F;;;
2013-10-07 00:00:00;06:30:00;Earles Street at Euclid Avenue;Intersection;1;;;0;70-79;F;49.2411960121;-123.04540955;49.2411960121,-123.04540955
2014-07-31 00:00:00;04:00:00;2079 Granville St Brdg Southbound South End;Mid-Span;;;;1;60-69;M;49.2715617586;-123.134560002;49.2715617586,-123.134560002
2014-09-07 00:00:00;10:45:00;Granville Bridge Offramp to W 4th Ave;Mid-Span;;;1;0;50-59;M;49.2715617586;-123.134560002;49.2715617586,-123.134560002
2014-10-02 00:00:00;20:30:00;6500 block Main St;Close to intersection;;;;1;80-89;M;49.2256631115;-123.101632015;49.2256631115,-123.101632015
2014-10-03 00:00:00;16:05:00;1501 Stanley Park Dr;Mid-Block;1;;;0;70-79;M;;;
2014-11-27 00:00:00;17:00:00;Oak and Park;Intersection;1;;;0;70-79;F;49.2144586353;-123.130046967;49.2144586353,-123.130046967
2014-12-16 00:00:00;14:27:00;4500 block W 10th Ave;Mid-block;1;;;0;80-89;M;49.2638527543;-123.210619527;49.2638527543,-123.210619527
2014-12-25 00:00:00;20:30:00;Kingsway and Earles;Intersection;1;;;0;70-79;F;49.2376025408;-123.048844631;49.2376025408,-123.048844631
2014-12-30 00:00:00;15:00:00;Oak and W 15th;Mid-Block;1;;;0;50-59;M;49.2577996835;-123.126797036;49.2577996835,-123.126797036
2015-01-02 00:00:00;19:30:00;SW Marine and Laurel Street;Intersection;1;;;0;40-49;F;49.2062783772;-123.126321983;49.2062783772,-123.126321983
2015-01-16 00:00:00;12:06:00;Davie and Thurlow;Intersection;1;;;0;70-79;M;49.2803840055;-123.131196978;49.2803840055,-123.131196978
2015-02-09 00:00:00;23:00:00;East 6th and Keith Drive;Intersection;1;;;0;50-59;F;49.2651977132;-123.079378849;49.2651977132,-123.079378849
2015-03-07 00:00:00;14:45:00;Hawks and East Cordova;Intersection;;;1;0;40-49;M;49.2820521985;-123.087118255;49.2820521985,-123.087118255
2015-04-27 00:00:00;15:30:00;Prince Edward St / SE Marine Dr;Parking Lot;1;;;0;60-69;F;49.2108356683;-123.098377473;49.2108356683,-123.098377473
2016-01-21 00:00:00;22:27:00;100 Block E Broadway Ave Mid block East Broadway between Main Street & Quebec Street;mid block;1;;;0;80-89;M;49.2629366893;-123.101960178;49.2629366893,-123.101960178
2016-03-11 00:00:00;00:54:00;2700 Block W Broadway Ave;Mid-block;1;;;0;30-39;M;49.2640414287;-123.166512636;49.2640414287,-123.166512636
2016-08-31 00:00:00;06:36:00;Main & Hastings;Intersection;1;;;0;40-49;M;49.2813356086;-123.099648811;49.2813356086,-123.099648811
2017-08-13 00:00:00;10:16:00;800 - 900 Canada Place;Mid-block;1;;;0;40-49;M;49.2877966961;-123.114198583;49.2877966961,-123.114198583
